DATE,Export_Price_Index_of_Gold
1/1/2001,97
2/1/2001,94.8
3/1/2001,93.7
4/1/2001,93.9
5/1/2001,93.1
6/1/2001,97.2
7/1/2001,94.7
8/1/2001,94.4
9/1/2001,95.9
10/1/2001,99.8
11/1/2001,99.5
12/1/2001,97.4
1/1/2002,97.2
2/1/2002,99
3/1/2002,104
4/1/2002,103.6
5/1/2002,106.8
6/1/2002,110.8
7/1/2002,113.3
8/1/2002,110.6
9/1/2002,109.5
10/1/2002,112.5
11/1/2002,111.6
12/1/2002,112.4
1/1/2003,117
2/1/2003,126.4
3/1/2003,127.2
4/1/2003,119.4
5/1/2003,115.1
6/1/2003,124.5
7/1/2003,124.8
8/1/2003,122.9
9/1/2003,126
10/1/2003,133
11/1/2003,133
12/1/2003,136.5
1/1/2004,142.9
2/1/2004,144.7
3/1/2004,141.4
4/1/2004,142.6
5/1/2004,140.9
6/1/2004,134.8
7/1/2004,137.8
8/1/2004,139.5
9/1/2004,140.5
10/1/2004,142.2
11/1/2004,147.6
12/1/2004,153.7
1/1/2005,154.6
2/1/2005,148.7
3/1/2005,148.3
4/1/2005,151.7
5/1/2005,150.4
6/1/2005,148
7/1/2005,150.9
8/1/2005,148.9
9/1/2005,153.6
10/1/2005,160.3
11/1/2005,164.5
12/1/2005,167.1
1/1/2006,178.5
2/1/2006,191.9
3/1/2006,193.5
4/1/2006,195.4
5/1/2006,214.7
6/1/2006,234.7
7/1/2006,209.1
8/1/2006,222.1
9/1/2006,221
10/1/2006,207.8
11/1/2006,205.2
12/1/2006,219.2
1/1/2007,219.9
2/1/2007,220.7
3/1/2007,231.6
4/1/2007,228.7
5/1/2007,236.6
6/1/2007,232.9
7/1/2007,228.6
8/1/2007,232.3
9/1/2007,232.7
10/1/2007,250.2
11/1/2007,265
12/1/2007,280.4
1/1/2008,281.5
2/1/2008,311.5
3/1/2008,322.8
4/1/2008,334.5
5/1/2008,316.4
6/1/2008,309.5
7/1/2008,311
8/1/2008,327.3
9/1/2008,292
10/1/2008,291.3
11/1/2008,280
12/1/2008,265
1/1/2009,285.4
2/1/2009,301.1
3/1/2009,329.4
4/1/2009,322.5
5/1/2009,311.1
6/1/2009,324.5
7/1/2009,330.1
8/1/2009,326.4
9/1/2009,331.7
10/1/2009,348.1
11/1/2009,364.3
12/1/2009,392.3
1/1/2010,394.8
2/1/2010,390.1
3/1/2010,382.4
4/1/2010,388.5
5/1/2010,400.6
6/1/2010,420.5
7/1/2010,430.1
8/1/2010,415.8
9/1/2010,424.5
10/1/2010,444.4
11/1/2010,468.9
12/1/2010,478.3
1/1/2011,485.5
2/1/2011,473.5
3/1/2011,479.4
4/1/2011,497
5/1/2011,516.2
6/1/2011,527.3
7/1/2011,532.2
8/1/2011,551.2
9/1/2011,614.4
10/1/2011,613.1
11/1/2011,581.8
12/1/2011,607.7
